keyword,ad_group,avg_monthly_searches,competition,suggested_cpc_range,base_target_cpc,bid_adjustment_factor,suggested_bid,priority
kia seltos,Brand Terms - Kia,1500000,Low,₹1.00 - ₹0.63,16.0,1.4400000000000002,0.63,High
kia carens,General Keywords,673000,Low,₹1.00 - ₹1.94,16.0,1.4129478746501904,1.94,High
kia sonet,Brand Terms - Kia,550000,Low,₹1.00 - ₹0.38,16.0,1.4061356261159548,0.38,High
kia cars,General Keywords,301000,Low,₹1.00 - ₹2.22,16.0,1.3857891240373394,2.22,High
auto kia,General Keywords,301000,Low,₹1.00 - ₹2.22,16.0,1.3857891240373394,2.22,High
kia automatic cars,Category Terms (Generic car buying searches),301000,Low,₹1.00 - ₹2.22,16.0,1.3857891240373394,2.22,High
kia motors cars,Brand Terms - Kia,301000,Low,₹1.00 - ₹2.22,16.0,1.3857891240373394,2.22,High
cars from kia,General Keywords,301000,Low,₹1.00 - ₹2.22,16.0,1.3857891240373394,2.22,High
automotive kia,General Keywords,301000,Low,₹1.00 - ₹2.22,16.0,1.3857891240373394,2.22,High
kia cars car,General Keywords,301000,Low,₹1.00 - ₹2.22,16.0,1.3857891240373394,2.22,High
kia car kia,General Keywords,301000,Low,₹1.00 - ₹2.22,16.0,1.3857891240373394,2.22,High
kia cars kia cars,General Keywords,301000,Low,₹1.00 - ₹2.22,16.0,1.3857891240373394,2.22,High
kia auto cars,General Keywords,301000,Low,₹1.00 - ₹2.22,16.0,1.3857891240373394,2.22,High
kia seltos price,Brand Terms - Kia,165000,Low,₹1.00 - ₹0.70,16.0,1.3654981272411126,0.7,High
kia carens price,Feature & Benefit Queries,110000,Low,₹1.00 - ₹4.68,16.0,1.351812583238804,4.68,High
kia seltos on road price,Brand Terms - Kia,110000,Low,₹1.00 - ₹1.94,16.0,1.351812583238804,1.94,High
kia car price,Feature & Benefit Queries,90500,Low,₹1.00 - ₹3.63,16.0,1.3452264175052782,3.63,Medium
kia carens on road price,Feature & Benefit Queries,90500,Low,₹1.00 - ₹2.77,16.0,1.3452264175052782,2.77,Medium
kia automatic price,Feature & Benefit Queries,90500,Low,₹1.00 - ₹3.63,16.0,1.3452264175052782,3.63,Medium
kia car cost,General Keywords,90500,Low,₹1.00 - ₹3.63,16.0,1.3452264175052782,3.63,Medium
kia cars and prices,Feature & Benefit Queries,90500,Low,₹1.00 - ₹3.63,16.0,1.3452264175052782,3.63,Medium
kia vehicle price,Feature & Benefit Queries,90500,Low,₹1.00 - ₹3.63,16.0,1.3452264175052782,3.63,Medium
kia price car,Brand Terms - Kia,90500,Low,₹1.00 - ₹3.63,16.0,1.3452264175052782,3.63,Medium
kia carnival price,Brand Terms - Kia,74000,Low,₹1.00 - ₹0.17,16.0,1.3384325449373422,0.17,Medium
kia carnival cost,Brand Terms - Kia,74000,Low,₹1.00 - ₹0.17,16.0,1.3384325449373422,0.17,Medium
honda city,Brand Terms - Honda,368000,Low,₹1.00 - ₹0.29,16.0,1.3925725255878971,0.29,High
honda elevate,Brand Terms - Honda,368000,Low,₹1.00 - ₹0.15,16.0,1.3925725255878971,0.15,High
honda amaze,Brand Terms - Honda,368000,Low,₹1.00 - ₹0.38,16.0,1.3925725255878971,0.38,High
honda city price,Brand Terms - Honda,74000,Low,₹1.00 - ₹0.35,16.0,1.3384325449373422,0.35,Medium
honda city on road price,Brand Terms - Honda,74000,Low,₹1.00 - ₹0.33,16.0,1.3384325449373422,0.33,Medium
honda city automatic price,Brand Terms - Honda,74000,Low,₹1.00 - ₹0.35,16.0,1.3384325449373422,0.35,Medium
cost of honda city,Brand Terms - Honda,74000,Low,₹1.00 - ₹0.35,16.0,1.3384325449373422,0.35,Medium
honda city car on road price,Brand Terms - Honda,74000,Low,₹1.00 - ₹0.33,16.0,1.3384325449373422,0.33,Medium
honda city rate,Brand Terms - Honda,74000,Low,₹1.00 - ₹0.35,16.0,1.3384325449373422,0.35,Medium
honda city 2025,Brand Terms - Honda,60500,Low,₹1.00 - ₹0.24,16.0,1.3316340678228213,0.24,Medium
honda jazz,Brand Terms - Honda,49500,Low,₹1.00 - ₹0.13,16.0,1.3248609624807453,0.13,Medium
amaze car,General Keywords,49500,Low,₹1.00 - ₹0.28,16.0,1.3248609624807453,0.28,Medium
honda service centres near me,Feature & Benefit Queries,49500,Low,₹1.00 - ₹0.62,16.0,1.3248609624807453,0.62,Medium
honda city 2024,Brand Terms - Honda,49500,Low,₹1.00 - ₹0.19,16.0,1.3248609624807453,0.19,Medium
honda near by me,General Keywords,49500,Low,₹1.00 - ₹1.15,16.0,1.3248609624807453,1.15,Medium
honda jazz honda,Brand Terms - Honda,49500,Low,₹1.00 - ₹0.13,16.0,1.3248609624807453,0.13,Medium
honda crv,General Keywords,40500,Low,₹1.00 - ₹0.20,16.0,1.3180878846881674,0.2,Medium
new honda amaze,Brand Terms - Honda,40500,Low,₹1.00 - ₹0.35,16.0,1.3180878846881674,0.35,Medium
honda india,General Keywords,33100,Low,₹1.00 - ₹0.10,16.0,1.3112777810653096,0.1,Medium
honda city car,Brand Terms - Honda,33100,Low,₹1.00 - ₹0.26,16.0,1.3112777810653096,0.26,Medium
honda car company,General Keywords,33100,Low,₹1.00 - ₹0.26,16.0,1.3112777810653096,0.26,Medium
honda city automatic,Brand Terms - Honda,33100,Low,₹1.00 - ₹0.26,16.0,1.3112777810653096,0.26,Medium
honda auto india,General Keywords,33100,Low,₹1.00 - ₹0.10,16.0,1.3112777810653096,0.1,Medium
honda automobile india,General Keywords,33100,Low,₹1.00 - ₹0.10,16.0,1.3112777810653096,0.1,Medium
honda civic price in india,Feature & Benefit Queries,27100,Low,₹1.00 - ₹0.08,16.0,1.3045274305019012,0.08,Medium
